,No.,Name,Address,Time,Phone
25,502,서청주DT,충북 청주시 흥덕구 2순환로 1067-2,"주중 07:00~23:00 , 주말/공휴일 08:00~23:00",043.234.8497
26,501,동천동강병원,울산 중구 외솔큰길 215 (지번) 남외동 514-1,"주중8:00~18:00, 토요일8:00~13:00, 주말/공휴일 휴점",052.700.9711
27,500,예산휴게소(대전방향),충남 예산군 신양면 당진영덕고속도로 34,"주중, 주말 동일 08:00~20:00",041.334.0094
28,499,칠곡휴게소 서울방향,경상북도 칠곡군 왜관읍 경부고속도로 158,주중 주말 동일 08:00~20:00,054.975.1883
29,498,칠곡휴게소 부산방향,경상북도 칠곡군 왜관읍 경부고속도로 159,주중 주말 동일 08:00~20:00,054.975.2277
30,497,전주삼천,전라북도 전주시 완산구 용리로 54,주중 주말 동일 09:00~23:00,063.227.8497
31,496,덕소라임스퀘어,"경기 남양주시 와부읍 덕소로97번길 67, 라임스퀘어빌딩","주중, 주말 동일 08:00~22:00",031.577.8397
32,495,죽전휴게소 서울방향,경기도 용인시 수지구 경부고속도로 400,"주중, 주말 동일 8:30~20:30",031.262.8722
33,494,청주하나로,충북 청주시 상당구 무농정로32,"주중, 주말 동일 09:00~21:00",043.286.8882
34,493,남대전DT,대전광역시 동구 대전로 255,"주중, 주말 동일 07:00~22:00",042.272.9897
35,492,영등포병원,서울 영등포구 당산로 31길 10,"주중 08:00~21:00 , 토요일/공휴일 08:00~15:00, 일요일 휴점",02.2679.1999
36,491,영종하늘도시,인천 중구 하늘별빛로 65번길 8-21,주중 주말 동일 07:00~23:00,032.746.8497
37,490,파주야당,"경기도 파주시 경의로 1024,1층",주중 주말 동일 08:00~22:00,031.941.8497
38,489,화성반월DI점,경기도 화성시 반월동 311-75  1층,주중 주말 동일 08:00~22:00,031.267.4019
39,488,청주동남시티,"충죽 청주시 상당구 중고개로 129, 1층",주중 주말 동일 08:30~23:00,043.285.8350
40,487,신금호역,서울 성동구 무수막길 95 솔베이그빌딩,"주중, 주말 동일 08:00~22:00",02.2237.7842
41,486,경산중방DI,"경상북도 경산시 중방동 909 1,2층","월~목,일 9시~22시 / 금,토 9시~23시",053.814.8497
42,485,평택세교DT점,경기도 평택시 세교동 436-1,"주중, 주말 동일 07:00~22:00",031.651.8497
43,484,함안휴게소(순천),경남 함안군 군북면 현포로 205-1,"주중, 주말 동일 07:00~20:00",055.582.5470
44,483,부산사직,"부산광역시 동래구 아시아드대로 141, 1층","주중, 주말 동일 08:00~23:00",051.501.8497
45,482,의왕역,경기도 의왕시 삼동 208-12,"주중, 주말 동일 08:00~23:00",031.461.8625
46,481,대구법원,"대구시 수성구 동대구로 371-1, 1층","주중 07~22시 주말,공휴일 10~22시",053.753.8497
47,480,남양주알프하임,"경기도 남양주시 백봉로 32, B-2동 지1층 101~105호(호평동 두산 알프하임 상가동)","주중, 주말 동일 08:00 ~ 21:00",070.8806.8497
48,479,파주문산DI,"경기도 파주시 문산읍 우계로 424, 101호","주중,주말 동일 09:00~21:00",031.953.8497
49,478,세종베스트웨스턴호텔,"세종특별자치시 도움1로 7, 1층 111~116호(어진동540)","주중 7:30~22:00	주말,공휴일 9:00~22:00",044.866.8497
50,477,천호로데오,"서울시 강동구 구천면로 212, 1층","주중 8:30 ~ 22:30, 주말/공휴일 : 8:00 ~ 22:30",02.484.8497
51,476,유명산DI,경기도 가평군 어비산길 16,"주중, 주말 동일 09:00~21:00",031.584.0507
52,475,창녕점,경남 창녕군 창녕읍 화왕산로 134,"주중, 주말 동일 10:00~23:00",055.532.8497
53,474,제주한라대,"제주특별자치도 제주시 고사마루길 2, 1층","주중, 주말 동일 07:00~01:00",064.744.8497
54,473,용산삼각지,"서울 용산구 한강로2가 426 용산트리스퀘어 101동 104호, 105호(용산구 백범로 99길 40)","주중 7:30~22:00 주말,공휴일 8:00~22:00",02.794.8497
55,472,대구가톨릭대로 DI,대구 남구 두류공원로 64,"주중, 주말동일 09:00~24:00",053.621.3269
56,471,광주쌍촌,"광주광역시 서구 상일로 58 1층,2층","주중, 주말 동일 09:00~23:00",062.371.8497
57,470,대전원내,대전 유성구 진잠로92번길 85,주중 주말 동일 08:00~02:00,042.544.8497
58,469,울산남구무궁화점,울산광역시 남구 왕생로 146(달동),"주중, 주말 동일 07:00~01:00",02.256.8498
59,468,한마음국제의료원점,"경상남도 창원시 의창구 용동로 57번길 8, 1층","주중 08:00~20:00/주말, 공휴일 10:00~18:00",055.275.3535
60,467,해운대중동점,"부산광역시 해운대구 좌동로 47, 1층","주중, 주말 동일 08:00~23:00",051.746.7617
61,466,청주시실리점,충북 청주시 흥덕구 강내면 가로수로 480,"주중, 주말 동일 10:00~22:00",043.238.3388
62,465,광양중마점,전라남도 광양시 시청로 62 101동 111호 e편한세상,"주중, 주말 동일 07:00~22:00",061.791.8082
63,464,성신여대점,서울시 성북구 동소문로 115-1,"(주중, 공휴일)07:00~23:00 / (주말)07:00~24:00",02.929.7067
64,463,수원시청역점,경기도 수원시 팔달구 인계로 166번길 48-21,"(주중)08:00~22:00 / (주말, 공휴일)08:00~23:00",031.233.5400
65,462,원주터미널점,"강원도 원주시 서원대로 165-1, 1층(단계동)","주중, 주말 동일 10:00~24:00",033.731.5798
66,461,용인(인천)휴게소 상행점,경기도 용인시 처인구 고림동 81-2(주북로 94번길 66-14),"주중, 주말 동일 08:00~20:00",031.339.3660
67,460,용인(강릉)휴게소 하행점,경기도 용인시 처인구 고림동 12-6(주북로 94번길 30-1),"주중, 주말 동일 08:00~20:00",031.339.3663
68,459,북대전점,"대전 유성구 대덕대로 1097 (송강동 141-2, 1,2층)","주중, 주말 동일 08:00~21:00",042.934.8597
69,458,목포 옥암법원점,전라남도 목포시 정의로 10,(월~금)08:00~22:00,061.282.8497
70,457,광주매곡점,광주광역시 북구 서하로 79,"주중, 주말 동일 08:00~24:00",062.575.2292
71,456,부산당감점,"부산 부산진구 동평로 83, 1층",(월~토)08:00~22:00 / (일)09:00~22:00,051.892.8497
72,455,진영(부산) 휴게소점,경남 김해시 진영읍 하계로 96번길 94-4 진영(부산)휴게소,"주중, 주말 동일 08:00~20:00",055.334.8700
73,454,성산포수협,제주 서귀포시 성산읍 성산등용로 91,"주중, 주말 동일 10:00~22:00",064.782.3169
74,453,제주한림점,제주도 제주시 한림읍 한림남1길 3,"주중, 주말 동일 08:00~22:00",064.796.4557
75,452,장안사거리점,"서울시 동대문구 장한로 130, 1층","주중, 주말 동일 08:30~22:00",02.3394.8497
76,451,울산무궁화점,울산광역시 남구 돋질로 359,"주중, 주말 동일 08:00~24:00",052.227.8498
77,450,김천교동 D/T,"경상북도 김천시 대학로 75, 나동 1-2층(교동)","주중, 주말 동일 07:30~23:00",054.435.8497
78,449,인천D/T,"인천 연수구 비류대로 11, 2동","주중, 주말 동일 07:00~23:00",032.831.8497
79,448,대전송촌점,"대전시 대덕구 계족산로 81번길 101, 1층(송촌동)","주중, 주말 동일 09:00~24:00",042.632.8497
80,447,청주죽림 D/I,충청북도 청주시 서원구 대림로 427 1층,"주중, 주말 동일 09:00~23:00",043.231.8497
81,446,대전카이스트점,대전 유성구 대학로 291,"주중, 주말 동일 08:00~23:00",042.863.8497
82,445,부산개금백뱅원점,"부산 부산진구 엄광로 37 1, 2층","주중, 주말 동일 08:00~23:00",051.897.8497
83,444,마산역 D/I,"경남 창원시 마산회원구 3.15대로 703, 1층(석전동)","주중, 주말 동일 00:00~24:00",055.253.1717
84,443,광주문흥점,광주시 북구 서하로 353-1,"주중, 주말 동일 08:00~23:00",062.262.8497
85,442,신사역점,"서울시 서초구 강남대로 101길 7, 지하1층, 지상1층(잠원동, 루미에르신사)","(월~토, 공휴일)07:30~22:30 / (일)08:30~20:30",070.4282.5757
86,441,계양구청점,인천 계양구 오조산로57번길 11,"주중, 주말 동일 08:00~24:00",032.543.4343
87,440,평택 힐스테이트점,경기 평택시 세교동 10-1 디오네프라자 1층,"(주중)08:00~23:00 / (주말, 공휴일)09:00~23:00",031.656.8088
88,439,전주 김제 모다아울렛점,전라북도 김제시 용지면 부교리 44-1번지,(주중)10:30~20:30 / (주말)10:00~21:00,063.540.9410
89,438,안산성포점,경기도 안산시 상록구 성포동 587-1 드림빌딩 2층,"주중, 주말 동일 09:00~24:00",031.401.8497
90,437,대구 남산역점,대구시 남구 명덕로 116 1층,"(주중)08:00~24:00 / (주말, 공휴일)08:00~01:00",053.626.8497
91,436,부산 가덕도점,부산시 강서구 가덕해안로 612,"주중, 주말 동일 10:00~22:00",051.941.8497
92,435,유성온천역점,대전광역시 유성구 계룡로 92,"주중, 주말 동일 08:00~23:00",042.826.8498
93,434,안산중앙점,"경기도 안산시 단원구 고잔로 88 , 지스타 105,106호","주중, 주말 동일 07:00~02:00",031.405.8497
94,433,경인교대역점,인천 계양구 계산천동로1,"주중, 주말 동일 07:00~24:00",032.541.4040
95,432,해남군청점,"전란남도 해남군 해남읍 북부순환로 112, 동우빌딩 1,2층","주중, 주말 동일 08:00~23:00",070.4369.8497
96,431,기쁨병원점,"서울시 서초구 서초중앙로 4 ,1층","(주중)07:00~20:00 / (주말, 공휴일)09:00~18:00",02.570.1210
97,430,서귀포일호광장점,제주 서귀포시 서문로 1(서귀동),"주중, 주말 동일 08:00~23:00",064.732.0007
98,429,인천운서점,인천 중구 백년로 128번길 21 스카이프라자 1층,"주중, 주말 동일 08:00~23:00",032.752.8497
99,428,광안비치점,"부산 수영구 광안해변로 165 광안지웰에스테이트 1,2F","주중, 주말 동일 09:00~24:00",051.757.8497
100,427,대구라온제나점,"대구광역시 수성구 범어천로 13 1층 102,103호","주중, 주말 동일 09:00~23:00",053.767.8497
101,426,행담도휴게소,충남 당진시 신평면 서해안고속도로 275,"(주중)06:00~22:00 / (주말, 공휴일)06:00~24:00",02..
102,425,청주테크노폴리스,"충북 청주시 흥덕구 송화로 166번길 20, 1층","주중, 주말 동일 10:00~23:00",043.277.8497
103,424,트윈시티 남산,서울시 용산구 한강대로 366 1층,"(월~토) 07:00~22:30 / (일, 공휴일) 07:00~22:00",02.3789.4534
104,423,일산 D/I,경기도 고양시 일산서구 일산로 646,"주중, 주말 동일 08:00~24:00",031.911.8497
105,422,부산화명,부산시 북구 금곡대로 303번길 36,"주중, 주말 동일 09:00~23:00",051.363.8497
106,421,제주봉개 D/I,"제주 제주시 번영로 430, 1층","주중, 주말 동일 08:00~23:00",064.727.8497
107,420,대구 반월당제네스점,"대구광역시 중구 중앙대로 312 반월당아너스제네스타워109호,207호,208호","주중, 주말 동일 07:00~23:00",053.254.8497
108,419,김천휴게소(하),경북 김천시 농소면 경부고속도로 김천(부산)휴게소,"주중, 주말 동일 08:00~20:00",054.435.0211
109,418,김천휴게소(상),경북 김천시 농소면 경부고속도로 김천(서울)휴게소,"주중, 주말 동일 08:00~20:00",054.433.1523
110,417,충남태안점,"충남 태안군 태안읍 중앙로 152, 1층 파스쿠찌 (동문리 259-2)","주중, 주말 동일 09:30~22:00",041.672.8497
111,416,동해해안도로 D/I,"강원도 동해시 해안로 374,1층","주중, 주말 동일 09:00~22:30",033.534.2746
112,415,김해진영점,경남 김해시 진영읍 김해대로 361번길 9,"(월~목, 일)09:00~23:00 / (금~토)09:00~01:00",070.4032.8497
113,414,대구용산점,"대구시 달서구 용산로 231 1,2층",(일~목)09:00~23:30 / (금~토)09:00~24:00,053.523.8497
114,413,수성구청역,"대구시 수성구 달구벌대로 2485, 1층","(주중) 07:00~23:00 / (주말,공휴일) 09:00~24:00",053.744.8497
115,412,서김해점,경상남도 김해시 풍유동 66-1번지,"주중, 주말 동일 09:00~23:00",055.323.8497
116,411,신기사거리점,"인천 미추홀구 미추홀대로 594 1동, 1층(주안동,동경프라자)","주중, 주말 동일 08:00~24:00",032.832.9911
117,410,신세계마산,경상남도 창원시 마산합포구 합포로 251(신세계백화점 8층),"주중, 주말 동일 11:00~20:00",055.240.1791
118,409,광희점,서울시 중구 퇴계로 307 광희빌딩 1층,"(주중) 07:00~19:00 / (주말, 공휴일) 휴무",02.2278.8088
119,408,하남미사강변점,경기도 하남시 미사강변중앙로111번길 38,"주중, 주말 동일 08:00 ~ 22:30",031.792.8297
120,407,강남고속터미널점,"서울시 서초구 신반포로 194, 본관 1층 22호(반포동)","주중, 주말 동일 09:00~22:00",02.533.5773
121,406,용인역북점,"경기도 용인시 처인구 명지로 24, B117~118, 121~122호(역북동, 더럭스나인 애비뉴)","주중, 주말 동일 09:00~23:00",031.322.8497
122,405,석촌호수점,서울시 송파구 송파대로49길 37 아쉬세븐빌딩 1층,"주말, 주중 동일 07:30~22:00",02.2135.2378
123,404,광명철산점,경기도 광명시 철산동 437번지,"(월~목, 일) 08:00~01:00 / (금~토) 09:00~02:00",02.2614.0708
124,403,계룡DT점,충남 계룡시 엄사면 엄사리 32-2,"주중, 주말 동일 07:00~23:00",042.841.8497
125,402,제주세화 D/I,제주 제주시 구좌읍 일주동로 3126,"주중, 주말 동일 08:00~22:00",064.784.8497
126,401,청주성화,"충청북도 청주시 서원구 서부로 1348, 성화BD 1F","주중, 주말 동일 09:00~24:00",043.232.8497
127,400,동탄2영천동,경기도 화성시 동탄영천로 81-9 로얄프라자 1층,"주중, 주말 동일 8:00~23:00",031.372.6265
128,399,대구다사점,대구광역시 달성군 다사읍 달구벌대로 858,"주중, 주말 동일 08:00~24:30",053.581.8497
129,398,수원권선DT점,"경기도 수원시 권선구 서수원로 245,1층(오목천동)","주중, 주말 동일 07:00~23:00",031.293.8497
130,397,평택험프리스점,"경기도 평택시 팽성읍 안정쇼핑로 52,101호","주중, 주말 동일 06:30~21:00",031.658.8497
131,396,구리수택점,경기도 구리시 경춘로 200,"평일, 주말, 공휴일 동일 08:00~24:00",031.553.0405
132,395,대구태평메가타워점,"대구광역시 중구 태평로 114(태평로3가, 메가타워)","(월~금) 9:00~22:00 / (토~일, 공휴일) 10:00~19:00",053.422.8497
133,394,화성시청점,경기도 화성시 남양읍 역골로 9-4,"(월~토) 08:000~23:00 / (일요일, 공휴일) 09:00~22:00",031.366.8498
134,393,광주하남점,광주광역시 광산구 단전둘레길 18,"주중, 주말 동일 09:00~22:00",062.448.9099
135,392,대전학하점,"대전광역시 유성구 학하로 98 (학하동, 1층)",(평일) 08:00~22:00 / (주말) 08:00~22:00,042.823.8497
136,391,포항시청점,경상북도 포항시 남구 대이로 39,"(평일, 주말) 10:00~22:30",054.274.8497
137,390,나주빛가람종합병원점,전라남도 나주시 빛가람동 266-4,(평일)  08:30~21:00 / (주말) 09:00~21:00,061.820.8497
138,389,대구화원DI점,대구광역시 달성군 화원읍 사문진로 422,(평일/주말) 09:00~02:00,053.623.8497
139,388,안산고잔점,경기도 안산시 단원구 고잔동 771-1 창진타운 130호,(평일/주말) 24시간 영업,031.439.8497
140,387,부산강서점,부산광역시 강서구 체육공원로6번길 184,"(평일, 주말) 9:00~ 23:00",051.831.8497
141,386,청주용평로점,충청북도 청주시 서원구 분평동 621-4번지 1층,(일~월) 10:00~23:00,043.292.8497
142,385,까치산역점,서울시 강서구 곰달래로 134,"(월~목, 일, 공휴일) 08:00~24:00 / (금,토) 08:00~01:00",02.2602.8497
143,384,평택소사벌점,경기도 평택시 비전5로 10 평택 가로수길 센트럴돔 1층,"(일~목) 09:00~24:00 /(금,토) 09:00~02:00",031.654.8497
144,383,제주영어교육도시점,"제주도 서귀포시 대정읍 에듀시티로239번길 8, 131,132호",(평일) 07:30~22;30 / (주말) 08:00~23;00,064.792.8497
145,382,대전시청점,"대전광역시 서구 둔산남로 103,1층(둔산동)","(일~목) 09:00 ~ 24:00  / (금,토) 09:00 ~ 01:00",042.472.8497
146,381,대구중앙로점,대구광역시 중구 중앙대로 421,"주중, 주말 동일 07:00-03:00",053.253.8388
147,380,수원호매실점,"경기도 수원시 권선구 금곡로 201, 1층",(주중/주말) 08:00~23:00,031.278.7900
148,379,창원대동백화점,"경상남도 창원시 성산구 원이대로 730, 창원대동백화점 1F","(평일, 주말 동일) 08:00~23:00",055.212.8885
149,378,창원상남점,경상남도 창원시 성산구 상남동 19-4,"(평일,주말) 09:00 ~ 01:45",055.266.8497
150,377,전주에코시티점,전라북도 전주시 덕진구 송천동2가 354-1번지,"주중,주말 동일 09:30~21:30",063.903.9929
151,376,가평휴게소 하행선점,경기도 가평군 설악면 미사리로 540번길 51,"주중,주말(동일) 07:00~22:00",02..
152,375,가평휴게소 상행선점,경기도 가평군 설악면 미사리로 544,"주중,주말(동일) 07:00~22:00",02..
153,374,원주행구길카페점,강원도 원주시 행구로 466(행구동 198번지),"주중, 주말 10:00~22:00",033.742.8497
154,373,목포해상케이블카유달산점,"전라남도 목포시 해양대학로 240, 1층 2101호(죽교동, 유달산STA)","평일 09:00~21:00 / 주말, 공휴일 09:00~22:00",061.244.8497
155,372,야탑역점,경기도 성남시 분당구 성남대로926번길 18,오전 7시 30분 ~ 밤 12시 30분,031.708.8497
156,371,천안신부점,충청남도 천안시 동남구 만남로 28 천안문빌딩 2층,09시 30분 ~ 22시,041.555.8797
157,370,김해부원역점,"김해시 김해대로 2349, 1층(부원동, 그린코아더센텀)",8시~23시,055.322.8497
158,369,송도유원지점,인천시 연수구 청량로 125,10:00 ~ 23:00,032.834.8497
159,368,전주 백제대로DT점,전라북도 전주시 덕진구 백제대로 556,"주중,주말 동일 / 07:30 ~ 00:00",063.227.8520
160,367,전남화순점,전라남도 화순군 화순읍 쌍충로 84,"주중, 주말 08:00~23:00",061.371.1216
161,366,대전죽동점,"대전광역시 유성구 죽동로297번길 46, 1층",평일 09:00 ~ 23:00 / 공휴일  10:00 ~ 23:00,042.825.8497
162,365,성남신흥역,경기 성남시 수정구 산성대로 267 롯데시네마타워 2층,"월~목, 일 09:00~24:00 / 금,토, 공휴일 09:00~01:00",031.606.8497
163,364,상무타임스점,"광주광역시 서구 상무중앙로 58, 타임스타워 1층",08:00~22:00,062.373.8497
164,363,대구칠곡태전DT,대구 북구 칠곡중앙대로 238,주중 주말 동일 (1층) 09:00~24:00 / (2층) 13:00~23:00,053.321.8497
165,362,대구국가산단점,대구 달성군 국가산단대로42길 5-23,09:30 ~ 21:00,053.214.8497
166,361,역삼테헤란점,"서울시 강남구 테헤란로 151, 1층 (역삼하이츠빌딩)",평일 07:00~24:00 / 토 08:00~24:00 / 공휴일 08:00~22:00,02.552.8497
167,360,광명역자이스트릿점,"경기도 광명시 광명역로 28,근린생활시설 1층",주중 주말 동일 08:00~23:00,02.897.8854
168,359,경산월드컵대로점,경북 경산시 삼성현로 50,평일/주말 10:00-24:00,053.817.8497
169,358,해운대장산점,부산광역시 해운대구 세실로69번길 17,월~목 08:00 ~ 01:00 / 금~토 09:00 ~ 03:00 / 일 09:00 ~ 01:00,051.702.8497
170,357,진하비치점,울산광역시 울주군 서생면 깨목4길 15,매일 09:00 ~ 22:00,052.237.8497
171,356,이대서울병원점,서울특별시 강서구 공항대로 260,평일 07:00 ~ 23:00 / 주말 08:00 ~ 22:00,070.8181.3112
172,355,삼척점,"강원도 삼척시 척주로 21 (남양동, 1, 2 층)","월~금 08:00~23:00 / 주말, 공휴일 08:00~23:00",033.575.8497
173,354,첨단리버사이드DT점,광주광역시 북구 임방울대로 945 (신용동 477-12),"07시 ~ 24시 (주중,주말,공휴일 동일)",062.574.8497
174,353,세종고운점,세종특별자치시 마음로 272-5,"평일, 주말 08:00~23:00",044.863.8496
175,352,부산송도해변점,"부산시 서구 송도해변로 79 (암남동, 2층)","평일, 주말 09:00~24:00",051.257.8497
176,351,광교법조타운점,"경기도 수원시 영통구광교중앙로248번길 95-3 (하동, 1층)","월~금 08:00~22:00 / 주말, 공휴일 09:00~22:00",031.211.3232
177,350,서울대관정도서관점,"서울시 관악구 관악로1 서울대학교 관정도서관 부속동 2,3층",매일 7:00 ~ 22:00,02.875.8497
178,349,대전성모병원점,"대전광역시 중구 대흥로 64 (대흥동, 1층)","월~토 08:00~21:00 / 일,공휴일 10:00~21:00",042.257.2588
179,348,전포카페거리점,부산 부산진구 전포동 692-5,월~목 08:00~ 24:00 / 금 08:00~ 25:00 / 토 09:00~ 25:00 / 일 09:00~ 24:00,051.818.6021
180,347,거제거붕백병원점,경상남도 거제시 계룡로 5길 14 거붕백병원,평일 08:00~18:00 / 토 08:00~16:00 / 일 08:00~14:00,055.733.0672
181,346,김포공항국내선점,"서울시 강서구 하늘길 112, 국내선 3층 (출발층, 동편)",05:00~21:00,02.2665.8497
182,345,대전봉명점,"대전광역시 유성구 온천북로 15, 1층 (봉명동 627-3)","월-목 09:00~01:00 / 금,토,공휴일 10:00~03:00",042.862.0004
183,344,대전코젤병원점,"대전광역시 유성구 계백로 927, 대전코젤병원 1층 1101호",평일/공휴일 08:00~22:00,042.545.3197
184,343,가재울점,서울시 서대문구 남가좌동 385,"평일 08:00 ~ 23:00 / 주말, 공휴일 08:00 ~ 23:00",02.304.8497
185,342,세종다정점,세종특별자치시 다정로 14 (다정동 산10),09:00~23:00,044.864.8497
186,341,서귀포신시가지점,제주 서귀포시 김정문화로27번길 10-1(강정동),08:00 ~ 23:00,064.739.8497
187,340,대구범어역점,대구광역시 수성구 달구벌대로 2386,"평일 08:00~23:00 / 주말, 공휴일 09:00~22:00",053.746.8497
188,339,대구 월배역점,대구광역시 달서구 월배로 168 아보스타워 1~2층,09:00 ~ 24:00,053.639.8497
189,338,아산배방점,충청남도 아산시 배방읍 배방로 88,8:00 ~ 23:00,041.542.8497
190,337,전주혁신점,"전라북도 완주군 이서면 오공로 11-13 108호, 109호",평일 08:00~23:00 / 주말 09:00~23:00,063.222.8497
191,336,제천장락점,"충청북도 제천시 청전대로 216, 재림빌딩 1층(장락동)",09:00~23:00,043.643.8497
192,335,광주 방림DT점,광주광역시 남구 대남대로 85,"주중, 주말 동일 09:00~23:00",062.651.8497
193,334,송도컨벤시아점,인천 연수구 센트럴로 123송도컨벤시아 M 18호,08:00~24:00,032.715.8467
194,333,구미문성지점,경상북도 구미시 고아읍 들성로 183,09:00~24:00,054.456.8497
195,332,충북영동점,충북 영동군 영동읍 난계로 1108,10:00~22:00,043.743.8497
196,331,순천문화의거리점,전라남도 순천시 중앙로 94-2,05:00~22:00,061.753.1002
197,330,부산온천장점,부산광역시 동래구 온천장로 89,월~목 8:00~23:00 / 금~토 10:00~02:00 / 일 9:00~24:00,051.553.8497
198,329,밀양점,경상남도 밀양시 밀양대로 1753-27(삼문동),"일~목 09:00~23:00 / 금~토, 공휴일 09:00~24:00",055.353.7711
199,328,동김해점,경상남도 김해시 인제로 9(어방동),09:00 ~ 23:00,055.333.6500
200,327,의정부민락제이맘점,"경기도 의정부시 오목로225번길 115(민락동) 제이맘태워 101, 201호",08:30~26:00,031.879.2626
201,326,충주칠금점,"충청북도 충주시 계명대로 29 1층 (칠금동, 금강빌딩)",08:00~24:00,043.855.8497
202,325,김포공항국제선점,"서울시 강서구 하늘길 38, 국제선 청사 1층 서편","평일,주말,공휴일 동일 06:30~23:00",02.2662.8497
203,324,포항성모병원점,"경상북도 포항시 남구 대잠동길 17, B1F",평일 08:00~21:00 / 토 08:00~19:00 / 일 10:00~19:00,054.277.8497
204,323,서충주신도시점,"충청북도 충주시 중앙탑면 기업도시로 222 서충주메디컬타워 2, 3층",09:00 ~ 22:00,043.846.5507
205,322,아산신정호점,충남 아산시 신창면 신정호길 268,10:00~23:00,041.534.0268
206,321,대전도룡점,"대전광역시 유성구 대덕대로 554, 지상 1, 2층(도룡동 399-1)","평일 08:30~23:00 / 주말, 공휴일 09:00~23:00",042.861.8497
207,320,대전용문점,"대전광역시 서구 괴정로 155 1, 2층","(평일)09:00~24:00, (휴일)10:00~23:00",042.522.8497
208,319,울산보람병원점,"울산광역시 남구 돋질로 336번길 10(삼산동, 울산보람병원 신관 1층)",08:00~21:00,052.272.8497
209,318,강진군청점,전라남도 강진군 강진읍 탐진로 103,08:00~23:00,061.432.8497
210,317,속초영랑호점,강원도 속초시 영랑호반길 575,07:00 ~ 22:00,033.633.8497
211,316,제주중문점,제주특별자치도 서귀포시 천제연로232번길 15,08:00~22:00,064.739.4477
212,315,화정샹그릴라점,"광주광역시 서구 내방로 337 1층 108호(화정동, 해광샹그릴라 센트럴 337)",10:00~24:00,062.352.8497
213,314,분당 정자역점,경기도 성남시 분당구 성남대로 331번길 9-9,"평일, 주말, 공휴일 07:30~23:00",031.713.8497
214,313,대전복합터미널점,대전광역시 동구 용전동 111-14,10:00~26:00,042.621.8497
215,312,인천공항 T1 탑승동점,"인천 중구 공항로 271, 인천공항 T1 여객터미널 탑승동 3층",06:00~22:00,032.743.7211
216,311,구미확장단지점,경상북도 구미시 산동면 신당리 1430,09:00~22:00,054.474.8497
